sequence,L_km,ell_km,delta_p50,delta_p2.5,delta_p97.5,delta_mean,delta_std,n_boot
Noto,400.0,2.0,3.5041449738753983,2.0826829366752477,5.963894603862865,3.631242076182896,0.9942978489623491,19997
Tohoku,400.0,2.0,1.7675467096720299,1.390655824520386,2.409015303311029,1.7992899259496675,0.2668533326868386,18941
Tokachi,400.0,2.0,38.75676547516957,17.39182003099485,94.6675424463762,43.151430362514475,20.43897235478358,20000
Noto,400.0,3.0,4.915021460393222,3.012325662819075,8.030976749817437,5.067702792473108,1.2850362805589672,19996
Tohoku,400.0,3.0,2.607301398832962,2.0866946183508857,3.4534033886555506,2.647466644257949,0.3605079150398926,18940
Tokachi,400.0,3.0,46.68000135033344,21.895610305489924,109.2025761947617,51.494113728523054,23.630735930735884,20000
Noto,400.0,5.0,7.53436780382855,4.843052982685545,11.719357563694748,7.728495412222929,1.765931103333724,19999
Tohoku,400.0,5.0,4.253999392332752,3.4832232347877783,5.519102003466168,4.315932116891245,0.5319767759294285,18962
Tokachi,400.0,5.0,59.315273804998114,29.49437488651072,129.50524129169062,64.4955031881761,26.849643131459157,20000
Noto,600.0,2.0,3.7500530346299574,2.137720636602914,6.673835940827862,3.9250333063387703,1.1678643639371225,19996
Tohoku,600.0,2.0,1.7941583400764334,1.389074528738661,2.4963349809369464,1.8314426718459356,0.29186490869380627,18978
Tokachi,600.0,2.0,48.39491147815336,20.7508203588422,124.5468111341743,54.39667841903518,27.510167328235895,20000
Noto,600.0,3.0,5.261247245433632,3.1156278963656563,8.896871878058294,5.457417132342382,1.4918181894515654,19995
Tohoku,600.0,3.0,2.64664487708539,2.0861797169545917,3.6138802421506075,2.6957914654408617,0.3973005545327943,18999
Tokachi,600.0,3.0,57.92009155874792,26.326200533285522,141.5862357722796,64.44934297144974,31.285476424518976,20000
Noto,600.0,5.0,8.031792121460802,5.0066350236487835,13.07016301286806,8.297239508499116,2.0719437974878185,19996
Tohoku,600.0,5.0,4.324912279074333,3.4736404821841864,5.732817081581171,4.39555223939945,0.5915257558357627,19020
Tokachi,600.0,5.0,73.24709259846492,34.99138589568894,170.3790932028191,80.79330653764345,35.664421586083535,20000
Noto,800.0,2.0,3.9422115894839687,2.1955004535612175,7.130693473188183,4.1312534685303985,1.283130980447743,19997
Tohoku,800.0,2.0,1.8277493354202567,1.3921968688727067,2.586198148372353,1.8663312783560562,0.3141345206761998,18955
Tokachi,800.0,2.0,57.121670196254485,23.57603081925137,147.8349433973072,64.51897144309784,33.60456714119204,20000
Noto,800.0,3.0,5.52930058495202,3.213432152219441,9.561116536234234,5.738792326280553,1.6476727317470163,19998
Tohoku,800.0,3.0,2.687754611489877,2.089606992552345,3.720001879779731,2.741795281187337,0.42718023400605504,18993
Tokachi,800.0,3.0,68.09305476176277,29.620299619469435,170.36626263052975,76.36410523489116,37.992080417735515,20000
Noto,800.0,5.0,8.44546065881524,5.059358021674976,14.171006977831363,8.739594678978237,2.3193028909744107,19997
Tohoku,800.0,5.0,4.371737212832123,3.468906479192712,5.855397936461823,4.443095666560878,0.627282552289672,18985
Tokachi,800.0,5.0,85.59915114163118,39.523682130625915,206.15381637035213,94.89365638937566,43.96623839345521,20000
