sigma_km,D3_true,Pbnd_pct
0.05,1.5,0.0
0.05,1.75,0.0
0.05,2.0,0.0
0.05,2.25,0.0
0.05,2.5,0.0
0.05,2.6,0.0
0.05,2.7,0.0
0.05,2.8,0.0
0.05,2.87,0.0
0.05,2.9,0.0
0.05,2.95,0.0
0.05,3.0,46.1
0.1,1.5,0.0
0.1,1.75,0.0
0.1,2.0,0.0
0.1,2.25,0.0
0.1,2.5,0.0
0.1,2.6,0.0
0.1,2.7,0.0
0.1,2.8,0.0
0.1,2.87,0.0
0.1,2.9,0.0
0.1,2.95,0.0
0.1,3.0,56.1
0.5,1.5,0.0
0.5,1.75,0.0
0.5,2.0,0.0
0.5,2.25,0.0
0.5,2.5,0.0
0.5,2.6,0.0
0.5,2.7,0.0
0.5,2.8,0.0
0.5,2.87,0.0
0.5,2.9,0.0
0.5,2.95,0.0
0.5,3.0,96.9
1.0,1.5,0.0
1.0,1.75,0.0
1.0,2.0,0.0
1.0,2.25,0.0
1.0,2.5,0.0
1.0,2.6,0.0
1.0,2.7,0.0
1.0,2.8,0.0
1.0,2.87,0.0
1.0,2.9,0.0
1.0,2.95,1.2
1.0,3.0,99.9
1.5,1.5,0.0
1.5,1.75,0.0
1.5,2.0,0.0
1.5,2.25,0.0
1.5,2.5,0.0
1.5,2.6,0.0
1.5,2.7,0.0
1.5,2.8,0.0
1.5,2.87,0.0
1.5,2.9,0.4
1.5,2.95,40.0
1.5,3.0,100.0
2.0,1.5,0.0
2.0,1.75,0.0
2.0,2.0,0.0
2.0,2.25,0.0
2.0,2.5,0.0
2.0,2.6,0.0
2.0,2.7,0.0
2.0,2.8,0.0
2.0,2.87,1.8
2.0,2.9,17.6
2.0,2.95,97.3
2.0,3.0,100.0
2.3,1.5,0.0
2.3,1.75,0.0
2.3,2.0,0.0
2.3,2.25,0.0
2.3,2.5,0.0
2.3,2.6,0.0
2.3,2.7,0.0
2.3,2.8,0.2
2.3,2.87,16.8
2.3,2.9,70.2
2.3,2.95,99.8
2.3,3.0,100.0
2.5,1.5,0.0
2.5,1.75,0.0
2.5,2.0,0.0
2.5,2.25,0.0
2.5,2.5,0.0
2.5,2.6,0.0
2.5,2.7,0.0
2.5,2.8,0.8
2.5,2.87,50.0
2.5,2.9,92.1
2.5,2.95,99.9
2.5,3.0,100.0
3.0,1.5,0.0
3.0,1.75,0.0
3.0,2.0,0.0
3.0,2.25,0.0
3.0,2.5,0.0
3.0,2.6,0.0
3.0,2.7,0.2
3.0,2.8,30.9
3.0,2.87,98.2
3.0,2.9,99.8
3.0,2.95,100.0
3.0,3.0,100.0
5.0,1.5,0.0
5.0,1.75,0.0
5.0,2.0,0.0
5.0,2.25,0.0
5.0,2.5,68.5
5.0,2.6,99.3
5.0,2.7,100.0
5.0,2.8,100.0
5.0,2.87,100.0
5.0,2.9,100.0
5.0,2.95,100.0
5.0,3.0,100.0
7.5,1.5,0.0
7.5,1.75,11.7
7.5,2.0,98.9
7.5,2.25,100.0
7.5,2.5,100.0
7.5,2.6,100.0
7.5,2.7,100.0
7.5,2.8,100.0
7.5,2.87,100.0
7.5,2.9,100.0
7.5,2.95,100.0
7.5,3.0,100.0
10.0,1.5,100.0
10.0,1.75,100.0
10.0,2.0,100.0
10.0,2.25,100.0
10.0,2.5,100.0
10.0,2.6,100.0
10.0,2.7,100.0
10.0,2.8,100.0
10.0,2.87,100.0
10.0,2.9,100.0
10.0,2.95,100.0
10.0,3.0,100.0
15.0,1.5,100.0
15.0,1.75,100.0
15.0,2.0,100.0
15.0,2.25,100.0
15.0,2.5,100.0
15.0,2.6,100.0
15.0,2.7,100.0
15.0,2.8,100.0
15.0,2.87,100.0
15.0,2.9,100.0
15.0,2.95,100.0
15.0,3.0,100.0
