x,y,z,r,g,b
-1.85408,-0.820868,-0.045055,1.0,0.0600733,0.0
-2.11222,-0.841809,-0.052375,1.0,0.0698333,0.0
1.75737,2.19105,-0.2417,1.0,0.322267,0.0
1.05777,1.1391,-0.74308,1.0,0.990773,0.0
-2.0961,-0.904539,-0.04926,1.0,0.06568,0.0
-2.09641,-0.903707,-0.04849,1.0,0.0646533,0.0
1.9597,2.12437,-0.04281,1.0,0.05708,0.0
1.90238,2.39991,-0.07603,1.0,0.101373,0.0
1.38524,-0.23689,-0.140735,1.0,0.187647,0.0
-4.02751,-2.70079,-0.025125,1.0,0.0335,0.0
0.604426,-0.41398,-0.10464,1.0,0.13952,0.0
-1.42838,-0.82701,-0.035165,1.0,0.0468867,0.0
0.176743,0.296919,-0.15439,1.0,0.205853,0.0
-1.85341,-0.821492,-0.0434,1.0,0.0578667,0.0
1.01857,2.95378,-0.76712,0.977173,1.0,0.0
-2.13762,-0.845696,-0.04071,1.0,0.05428,0.0
-2.13826,-0.847804,-0.047205,1.0,0.06294,0.0
-2.11673,-0.846643,-0.04078,1.0,0.0543733,0.0
-2.11815,-0.845047,-0.050235,1.0,0.06698,0.0
-2.11861,-0.842592,-0.05081,1.0,0.0677467,0.0
-2.12173,-0.833701,-0.052,1.0,0.0693333,0.0
-2.41973,-0.937067,-0.04476,1.0,0.05968,0.0
0.27661,0.135307,-0.088635,1.0,0.11818,0.0
1.90965,2.03264,-0.110125,1.0,0.146833,0.0
0.273508,0.131209,-0.0912,1.0,0.1216,0.0
0.274978,0.13431,-0.10076,1.0,0.134347,0.0
0.277406,0.129443,-0.091135,1.0,0.121513,0.0
-2.1034,-0.892807,-0.05834,1.0,0.0777867,0.0
-2.12384,-0.860339,-0.04744,1.0,0.0632533,0.0
-2.11549,-0.84759,-0.0624,1.0,0.0832,0.0
-3.37237,-2.25253,-0.040145,1.0,0.0535267,0.0
1.09302,3.63436,-1.02182,0.637573,1.0,0.0
-2.11687,-0.844336,-0.046785,1.0,0.06238,0.0
-2.12846,-0.846659,-0.0479,1.0,0.0638667,0.0
-1.36059,-0.679634,-0.05696,1.0,0.0759467,0.0
